,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_filter__n,param_variant__alpha,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
14,0.978600025177,0.123800039291,-0.0530974071232,0.0779854278261,60,0.001,"{'variant__alpha': 0.001, 'filter__n': 60}",15,-0.0164915846696,0.0690196381238,0.0178504526215,0.0616541759494,-0.0741947019856,0.0915974207682,-0.0890503787341,0.0837120195552,-0.103715935498,0.0839438847342,0.00989143684841,0.0230340109395,0.0461974781201,0.0109606440163
15,0.981799936295,0.121399974823,-0.0531034058273,0.0779854282629,60,0.0001,"{'variant__alpha': 0.0001, 'filter__n': 60}",16,-0.0164963854487,0.0690196383662,0.0178456854016,0.06165417637,-0.074198526923,0.091597421365,-0.0890540358877,0.0837120199535,-0.103728882695,0.0839438852596,0.0314159848292,0.0197241696068,0.0461990056463,0.0109606440983
16,0.982800006866,0.140399980545,-0.0705177224951,0.085109042181,80,0.1,"{'variant__alpha': 0.1, 'filter__n': 80}",17,-0.0291858778444,0.0755470604974,-0.0129462719841,0.0704699292577,-0.0761223540676,0.100941723937,-0.118593763324,0.0890390805981,-0.115870319609,0.0895474166151,0.0372418883414,0.0172812170918,0.0434092510136,0.0108770703965
17,0.973199987411,0.13120007515,-0.0714208282053,0.085120115018,80,0.01,"{'variant__alpha': 0.01, 'filter__n': 80}",18,-0.0303157736637,0.0755582619868,-0.0139114266138,0.0704787067295,-0.0767739130177,0.100955890202,-0.119371180845,0.0890525906518,-0.116861108064,0.0895551255193,0.0251109267233,0.0221305291599,0.043333764798,0.010878467985
18,0.931799983978,0.14219994545,-0.0715145814527,0.0851202381217,80,0.001,"{'variant__alpha': 0.001, 'filter__n': 80}",19,-0.0304341339789,0.0755583889167,-0.0140116759703,0.0704788011841,-0.0768418747949,0.100956047049,-0.119451130445,0.0890527439849,-0.116963275871,0.089555209474,0.0319336979501,0.0191039718773,0.0433254383237,0.0108784838416
19,0.979400062561,0.115799999237,-0.0715239949644,0.0851202393669,80,0.0001,"{'variant__alpha': 0.0001, 'filter__n': 80}",20,-0.0304460280302,0.0755583902032,-0.0140217401794,0.0704788021361,-0.0768487008028,0.100956048635,-0.11945914844,0.0890527455393,-0.116973533366,0.0895552103216,0.0172812535145,0.0171510211876,0.0433245989033,0.0108784840023
20,0.992399978638,0.13140001297,-0.0745958599622,0.0903667194789,100,0.1,"{'variant__alpha': 0.1, 'filter__n': 100}",21,-0.0409317085359,0.0850235448589,-0.0214108414566,0.0778501281863,-0.0811489560659,0.104037234833,-0.113810731993,0.0926974465842,-0.115782923871,0.0922252429324,0.0187573985486,0.0212471439588,0.0380474868987,0.00872907739585
21,0.973599910736,0.123200035095,-0.0765086680799,0.09045856167,100,0.01,"{'variant__alpha': 0.01, 'filter__n': 100}",22,-0.0445031046439,0.0853257791855,-0.0233118812384,0.0778934984571,-0.0815364120227,0.104098110172,-0.114697901921,0.0927121148211,-0.118594687,0.0922633057149,0.0206067203635,0.022355333396,0.0377039357284,0.00870171426532
22,0.968000078201,0.140599966049,-0.0767295973731,0.0904599155651,100,0.001,"{'variant__alpha': 0.001, 'filter__n': 100}",23,-0.04494779644,0.0853303887518,-0.0235147814282,0.0778940283407,-0.081566424042,0.104099058108,-0.114789379763,0.0927122856931,-0.118929547962,0.0922638169316,0.0122311141505,0.0168594587683,0.0376653484579,0.00870134481223
23,1.03900008202,0.13159995079,-0.0767520797233,0.0904599297382,100,0.0001,"{'variant__alpha': 0.0001, 'filter__n': 100}",24,-0.0449934430317,0.0853304371238,-0.0235352121713,0.0778940337629,-0.0815693288047,0.104099068154,-0.114798555824,0.0927122874306,-0.118963728712,0.09226382222,0.0793900980803,0.0213222609592,0.0376614416727,0.00870134100158
24,1.0248000145,0.1492000103,-0.0803214524487,0.0946447726109,120,0.1,"{'variant__alpha': 0.1, 'filter__n': 120}",25,-0.0654243590051,0.0904734000868,-0.0155758727109,0.0798925970873,-0.0808205561434,0.106612120099,-0.125753476648,0.0985245000544,-0.114079843942,0.0977212457275,0.0526740662944,0.00396982232621,0.0390224800598,0.00897509230233
25,0.981600046158,0.139999961853,-0.0828042394317,0.0946998752858,120,0.01,"{'variant__alpha': 0.01, 'filter__n': 120}",27,-0.0694879437467,0.0905568496761,-0.0171905086539,0.0799328982982,-0.0819548000056,0.106650185654,-0.127035579234,0.0985686476958,-0.118394240662,0.0977907951045,0.0378291044865,0.0167928822021,0.0392478793365,0.00897284095196
26,0.977399969101,0.112799930573,-0.0830912433996,0.0947006275369,120,0.001,"{'variant__alpha': 0.001, 'filter__n': 120}",29,-0.0699336288551,0.0905578317959,-0.0173685028555,0.0799333982045,-0.0821046353565,0.106650961183,-0.127175853637,0.0985692360478,-0.11891497244,0.0977917104534,0.00937229189422,0.0191039718773,0.0392837340561,0.00897290608854
27,0.974800014496,0.13280005455,-0.0831204791967,0.0947006354483,120,0.0001,"{'variant__alpha': 0.0001, 'filter__n': 120}",32,-0.0699786351791,0.0905578417877,-0.0173865010328,0.0799334033318,-0.082120391588,0.106650970097,-0.127190024563,0.0985692421322,-0.118968170174,0.0977917198934,0.0162036924181,0.0235320750999,0.039287492191,0.00897290702755
28,0.981799983978,0.133200025558,-0.0812776939957,0.0946731797731,150,0.1,"{'variant__alpha': 0.1, 'filter__n': 150}",26,-0.0680748365026,0.0905384910664,-0.0159218541948,0.0799121277816,-0.081328695797,0.106630180157,-0.126194358339,0.0985501319943,-0.114910243565,0.0977349678659,0.0152761616617,0.0195897885993,0.0389618620254,0.0089706127955
29,0.968599939346,0.122200107574,-0.0829128191418,0.0947007229352,150,0.01,"{'variant__alpha': 0.01, 'filter__n': 150}",28,-0.0698447440532,0.0905584968862,-0.0171539595634,0.0799344452892,-0.0820342990571,0.106650704669,-0.127085814772,0.0985690124194,-0.118486372839,0.0977909554128,0.00852291023028,0.0219855032896,0.0392637093732,0.00897236040164
30,0.934999990463,0.150000047684,-0.0830984026231,0.0947010680727,150,0.001,"{'variant__alpha': 0.001, 'filter__n': 150}",30,-0.0700274221718,0.090558718398,-0.0172871965529,0.0799347025763,-0.0821132607963,0.106650967457,-0.127180949542,0.0985692398489,-0.118924287765,0.0977917120831,0.0534416450902,0.00199999809549,0.0393074532486,0.00897239699734
31,0.966400051117,0.113399982452,-0.08311723537,0.0947010716136,150,0.0001,"{'variant__alpha': 0.0001, 'filter__n': 150}",31,-0.0700457477553,0.0905587206372,-0.0173006349773,0.0799347051901,-0.082121261793,0.106650970161,-0.127190534891,0.0985692421704,-0.11896910274,0.0977917199097,0.0407803163264,0.018810537348,0.0393120088922,0.00897239738973
